"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1990;0,4;15
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1991;0,5;17
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1992;0,5;19
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1993;0,4;15
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1994;0,4;17
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1995;0,3;12
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1996;0,3;10
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1997;0,4;13
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1998;0,4;16
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";1999;0,4;16
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2000;0,6;22
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2001;0,7;26
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2002;0,8;28
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2003;0,9;33
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2004;0,9;33
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2005;1,1;41
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2006;1,2;47
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2007;1,2;46
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2008;1,2;47
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2009;1,0;39
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2010;0,9;37
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2011;0,9;36
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2012;1,0;40
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2013;1,4;55
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2014;1,5;59
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2015;1,4;57
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2016;1,4;56
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2017;1,3;50
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2018;1,5;54
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2019;1,6;59
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2020;1,4;51
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2021;1,5;51
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2022;1,4;48
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Akaa";"020";"combined";2023;1,4;46
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Alajärvi";"005";"combined";1990;;
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Alajärvi";"005";"combined";1991;;
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Alajärvi";"005";"combined";1992;0,3;9
"Children aged 0-17 placed in care during the year, as % of total population of same age (THL)";"1077";"Alajärvi";"005";"combined";1993;0,3;12
