"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2008;0,0;0
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2009;0,0;0
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2010;3,7;150
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2011;7,3;293
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2012;7,0;279
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2013;6,6;265
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2014;5,3;210
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2015;5,7;224
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2016;6,5;251
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2017;7,1;267
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2018;7,2;269
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2019;6,0;219
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2020;7,8;276
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2021;7,3;257
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2022;7,2;251
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Akaa";"020";"combined";2023;8,2;276
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2008;0,0;0
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2009;0,0;0
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2010;3,4;88
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2011;4,5;112
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2012;4,7;117
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2013;5,4;131
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2014;5,0;121
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2015;5,4;127
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2016;4,5;103
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2017;5,7;130
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2018;5,4;119
"Children aged 0-17 subject to a child welfare notification, as % of total population of same age (THL)";"1086";"Alajärvi";"005";"combined";2019;7,5;161
